
SunOS ieo2wlzsoax02 5.10 Generic_150400-10 sun4v    06/20/2019

00:00:00    %usr    %sys    %wio   %idle
           md31              0     0.0       0       1     0.0    11.2
           md32              0     0.0       0       1     0.0    10.8
           md40              0     0.0       0       0     0.0     0.0
           md41              0     0.0       0       0     0.0     0.0
           md42              0     0.0       0       0     0.0     0.0
           md50              0     0.0       0       1     0.0    10.4
           md51              0     0.0       0       1     0.0    10.4
           md52              0     0.0       0       0     0.0     0.0
           md60              2     0.1       5      89     2.9     9.2
           md61              2     0.0       4      82     0.0     8.9
           md62              2     0.0       4      82     0.0     8.7
           md65              2     0.0       2      47     0.0    12.7
           md66              1     0.0       3      42     0.0    11.6
           md100             0     0.0       0       0     0.0     0.0
           md200             0     0.0       0       0     0.0     0.0
           md300             0     0.0       0       0     0.0     0.0
           sd5.t1.m          0     0.0   21067  310234     0.0     0.0
           sd6.t2.m          0     0.0   20166  306452     0.0     0.0
           nfs1              3     0.0       3      25     0.0     9.2
           sd4               0     0.0       0       0     0.0     0.0
           sd5               3     0.1       6      86     0.0    10.0
           sd5,a             0     0.0       0       0     0.0    11.1
           sd5,b             0     0.0       0       0     0.0     0.0
           sd5,c             0     0.0      12       2     0.0     0.0
           sd5,d             0     0.0       0       1     0.0    11.2
           sd5,e             0     0.0       0       0     0.0     0.0
           sd5,f             0     0.0       0       1     0.0    10.4
           sd5,g             2     0.0       4      82     0.0     8.9
           sd5,h             2     0.0       1       1     0.0    14.7
           sd6               3     0.1       6      85     0.0     9.8
           sd6,a             0     0.0       6       2     0.0     0.0
           sd6,b             0     0.0       0       0     0.0     0.0
           sd6,c             0     0.0      12       2     0.0     0.0
           sd6,d             0     0.0       0       1     0.0    10.7
           sd6,e             0     0.0       0       0     0.0     0.0
           sd6,f             0     0.0       0       0     0.0     0.0
           sd6,g             2     0.0       4      82     0.0     8.7
           sd6,h             2     0.0       1       1     0.0    14.3
           sd7               0     0.0       0       0     0.0     0.0
           ehci0,bu          0     0.0       0       0     0.0     0.0
           ehci0,ct          0     0.0       0       0     0.0     0.0
           ehci0,in          0     0.0       0       0     0.0     0.0
           ehci0,is          0     0.0       0       0     0.0     0.0
           ehci0,to          0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0
           ohci1,bu          0     0.0       0       0     0.0     0.0
           ohci1,ct          0     0.0       0       0     0.0     0.0
           ohci1,in          0     0.0       0       0     0.0     0.0
           ohci1,is          0     0.0       0       0     0.0     0.0
           ohci1,to          0     0.0       0       0     0.0     0.0

08:00:00   md0               0     0.0       0       0     0.0    12.7
           md1               0     0.0       0       0     0.0    12.7
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       1    10.2    12.7
           md31              0     0.0       0       1     0.0    11.4
           md32              0     0.0       0       1     0.0    11.0
           md40              0     0.0       0       0     0.0     0.0
           md41              0     0.0       0       0     0.0     0.0
           md42              0     0.0       0       0     0.0     0.0
           md50              0     0.0       0       1     0.0    10.0
           md51              0     0.0       0       1     0.0    10.0
           md52              0     0.0       0       0     0.0     0.0
           md60              3     0.1       7     135     2.2     8.9
           md61              2     0.1       6     106     0.0     8.7
           md62              2     0.1       6     107     0.0     8.9
           md65              2     0.1       5     115     0.0     9.6
           md66              1     0.0       2      19     0.0    15.3
           md100             0     0.0       0       0     0.0     0.0
           md200             0     0.0       0       0     0.0     0.0
           md300             0     0.0       0       0     0.0     0.0
           sd5.t1.m          0     0.0   26896  395994     0.0     0.0
           sd6.t2.m          0     0.0   25900  394521     0.0     0.0
           nfs1              0     0.0       0       0     0.0     0.0
           sd4               0     0.0       0       0     0.0     0.0
           sd5               3     0.1       7     110     0.0     9.8
           sd5,a             0     0.0       0       0     0.0    12.3
           sd5,b             0     0.0       0       0     0.0     0.0
           sd5,c             0     0.0      12       2     0.0     0.0
           sd5,d             0     0.0       0       1     0.0    11.4
           sd5,e             0     0.0       0       0     0.0     0.0
           sd5,f             0     0.0       0       1     0.0     9.9
           sd5,g             2     0.1       6     106     0.0     8.7
           sd5,h             2     0.0       1       1     0.0    15.2
           sd6               3     0.1       7     109     0.0     9.8
           sd6,a             0     0.0       6       2     0.0     0.0
           sd6,b             0     0.0       0       0     0.0     0.0
           sd6,c             0     0.0      12       2     0.0     0.0
           sd6,d             0     0.0       0       1     0.0    11.0
           sd6,e             0     0.0       0       0     0.0     0.0
           sd6,f             0     0.0       0       0     0.0     0.0
           sd6,g             2     0.1       6     107     0.0     8.9
           sd6,h             2     0.0       1       1     0.0    14.8
           sd7               0     0.0       0       0     0.0     0.0
           ehci0,bu          0     0.0       0       0     0.0     0.0
           ehci0,ct          0     0.0       0       0     0.0     0.0
           ehci0,in          0     0.0       0       0     0.0     0.0
           ehci0,is          0     0.0       0       0     0.0     0.0
           ehci0,to          0     0.0       0       0     0.0     0.0
           ohci0,bu          0     0.0       0       0     0.0     0.0
           ohci0,ct          0     0.0       0       0     0.0     0.0
           ohci0,in          0     0.0       0       0     0.0     0.0
           ohci0,is          0     0.0       0       0     0.0     0.0
           ohci0,to          0     0.0       0       0     0.0     0.0
           ohci1,bu          0     0.0       0       0     0.0     0.0
           ohci1,ct          0     0.0       0       0     0.0     0.0
           ohci1,in          0     0.0       0       0     0.0     0.0
           ohci1,is          0     0.0       0       0     0.0     0.0
           ohci1,to          0     0.0       0       0     0.0     0.0

08:20:00   md0               0     0.0       0       0     0.0     0.0
           md1               0     0.0       0       0     0.0     0.0
           md2               0     0.0       0       0     0.0     0.0
           md10              0     0.0       0       0     0.0     0.0
           md11              0     0.0       0       0     0.0     0.0
           md12              0     0.0       0       0     0.0     0.0
           md30              0     0.0       0       1    11.0    13.4
           md31              0     0.0       0       1     0.0    11.9
           md32              0     0.0       0       1     0.0    11.6
           md40              0     0.0       0       0     0.0     0.0
           md41              0     0.0       0       0     0.0     0.0
           md42              0     0.0       0       0     0.0     0.0
           md50              0     0.0       0       1     0.0    10.3
           md51              0     0.0       0       1     0.0    10.3
           md52              0     0.0       0       0     0.0     0.0
           md60             13     0.4      37    1289     0.7     8.9
           md61             10     0.3      27     833     0.0     9.2
           md62             10     0.2      27     835     0.0     8.9
           md65              9     0.2      23     860     0.0    10.8
           md66              6     0.1      14     416     0.0     7.4
           md100             0     0.0       0       0     0.0     0.0
           md200             0     0.0       0       0     0.0     0.0
           md300             0     0.0       0       0     0.0     0.0
           sd5.t1.m          0     0.0   34900 1004706     0.0     0.0
           sd6.t2.m          0     0.0   34630 1005452     0.0     0.0
           nfs1              0     0.0       0       0     0.0     0.0
           sd4               0     0.0       0       0     0.0     0.0
           sd5              11     0.3      29     837     0.0     9.7
           sd5,a             0     0.0       0       0     0.0     0.0
           sd5,b             0     0.0       0       0     0.0     0.0
           sd5,c             0     0.0       0       0     0.0     0.0
           sd5,d             0     0.0       0       1     0.0    11.9
           sd5,e             0     0.0       0       0     0.0     0.0
           sd5,f             0     0.0       0       1     0.0    10.2
           sd5,g            10     0.3      27     833     0.0     9.2
           sd5,h             2     0.0       1       1     0.0    17.9
           sd6              11     0.3      29     838     0.0     9.3
           sd6,a             0     0.0       0       0     0.0     0.0
           sd6,b             0     0.0       0       0     0.0     0.0
           sd6,c             0     0.0       0       0     0.0     0.0
           sd6,d             0     0.0       0       1     0.0    11.5
           sd6,e             0     0.0       0       0     0.0     0.0
           sd6,f             0     0.0       0       0     0.0     0.0
           sd6,g            10     0.2      27     835     0.0     8.9
           sd6,h             2     0.0       1       1     0.0    17.2
           sd7               0     0.0       0       0     0.0     0.0
